Zeit,Kanal A,Kanal B
(s),(mV),(V)

71.33336894,10.08484000,0.01953185
71.46670234,10.72420000,-0.01342814
71.60003574,10.55483000,-0.01098666
71.73336914,10.11994000,-0.00793481
71.86670254,10.79745000,-0.00854518
72.00003594,10.51515000,-0.01159703
72.13336934,10.09400000,-0.01098666
72.26670274,10.78219000,-0.01159703
72.40003614,10.51820000,-0.05554369
72.53336954,10.09705000,-0.00671407
72.66670294,10.73031000,0.02746666
72.80003634,10.53041000,-0.01586962
72.93336974,10.06043000,-0.00854518
73.06670314,10.78829000,-0.01159703
73.20003654,10.50447000,-0.01098666
73.33336994,10.10620000,-0.00671407
73.46670334,10.76846000,-0.00793481
73.60003674,10.49989000,-0.00793481
73.73337014,10.10620000,-0.01159703
73.86670354,10.74557000,-0.00793481
74.00003694,10.49379000,-0.00793481
74.13337034,10.12452000,-0.00732444
74.26670374,10.75472000,0.00061037
74.40003714,10.50447000,-0.00915555
74.53337054,10.14130000,-0.00671407
74.66670394,10.79287000,-0.00793481
74.80003734,10.46175000,-0.01220740
74.93337074,10.13520000,-0.00793481
75.06670414,10.82339000,-0.01586962
75.20003754,10.48006000,-0.00427259
75.33337094,10.14435000,-0.00915555
75.46670434,10.79592000,-0.00793481
75.60003774,10.49226000,-0.01892148
75.73337114,10.14893000,-0.00793481
75.86670454,10.83254000,-0.00671407
76.00003794,10.53041000,-0.01098666
76.13337134,10.17487000,-0.01220740
76.26670474,10.86764000,-0.00915555
76.40003814,10.52431000,-0.01525925
76.53337154,10.17792000,-0.00610370
76.66670494,10.84323000,-0.03173925
76.80003834,10.53041000,-0.01037629
76.93337174,10.19623000,-0.01098666
77.06670514,10.81729000,-0.01098666
77.20003854,10.50142000,-0.02197333
77.33337194,10.21302000,-0.00366222
77.46670534,10.83102000,-0.00793481
77.60003874,10.53652000,-0.00854518
77.73337214,10.23286000,-0.00366222
77.86670554,10.81118000,-0.01037629
78.00003894,10.53499000,-0.00671407
78.13337234,10.22523000,-0.01525925
78.26670574,10.79897000,0.00183111
78.40003914,10.55483000,-0.01342814
78.53337254,10.23591000,-0.01220740
78.66670594,10.77761000,-0.00793481
78.80003934,10.54109000,-0.02136296
78.93337274,10.24506000,-0.00671407
79.06670614,10.75320000,-0.01342814
79.20003954,10.51057000,-0.00305185
79.33337294,10.27406000,-0.01037629
79.46670634,10.75014000,-0.00610370
79.60003974,10.53957000,0.01648000
79.73337314,10.33509000,-0.00366222
79.86670654,10.75930000,-0.00854518
80.00003994,10.54872000,-0.00732444
80.13337334,10.35340000,-0.02258370
80.26670673,10.76846000,-0.01159703
80.40004013,10.48769000,-0.04150517
80.53337353,10.37782000,-0.00793481
80.66670693,10.78982000,-0.01098666
80.80004033,10.52431000,-0.01342814
80.93337373,10.42055000,-0.00854518
81.06670713,10.74252000,-0.00671407
81.20004053,10.48006000,-0.01770074
81.33337393,10.47853000,-0.01586962
81.46670733,10.71963000,-0.01037629
81.60004073,10.47548000,-0.01098666
81.73337413,10.50294000,-0.01037629
81.86670753,10.73641000,-0.00549333
82.00004093,10.39918000,-0.00915555
82.13337433,10.56551000,-0.02014222
82.26670773,10.73946000,-0.00793481
82.40004113,10.31526000,-0.02624592
82.53337453,10.61739000,-0.00732444
82.66670793,10.68758000,-0.00427259
82.80004133,10.23896000,-0.01220740
82.93337473,10.61892000,-0.01525925
83.06670813,10.68911000,-0.01648000
83.20004153,10.22370000,-0.00610370
83.33337493,10.66622000,0.00244148
83.46670833,10.67995000,-0.00549333
83.60004173,10.16724000,-0.01159703
83.73337513,10.73794000,-0.01342814
83.86670853,10.64791000,-0.00732444
84.00004193,10.12146000,-0.01281777
84.13337533,10.77608000,0.00183111
84.26670873,10.62502000,-0.01220740
84.40004213,10.08331000,-0.04821924
84.53337553,10.76235000,-0.01098666
84.66670893,10.58840000,-0.00183111
84.80004233,10.10468000,-0.00183111
84.93337573,10.73946000,-0.01037629
85.06670913,10.56703000,-0.00915555
85.20004253,10.10010000,-0.00793481
85.33337593,10.74099000,0.01770074
85.46670933,10.56703000,-0.00122074
85.60004273,10.09247000,-0.01403851
85.73337613,10.76998000,-0.00915555
85.86670953,10.48311000,-0.00854518
86.00004293,10.09552000,-0.00915555
86.13337633,10.76998000,-0.00915555
86.26670973,10.51668000,0.00854518
86.40004313,10.10620000,-0.00915555
86.53337653,10.74557000,-0.01342814
